Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Nane,Reviewer_Sart,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profil_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date,Topic,Sentiment,Sub_Topic
Kenya,Nyeri,Standard Chartered Bank Nyeri Branch,+254 20 3293900,"Kenyatta Rd, Nyeri, Kenya",standardchartered.com,V M,5,NAN,2018-06-29,0,https://www.google.com/maps/contrib/116946183162351789462/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Kenya,Kitui,Co-Op Bank Atm - Kitui Branch,+254 44 4422370,"Emco House, Kilungya Makuti Street, Kitui, Kenya",co-opbank.co.ke,Emman Emmah,5,NAN,2023-10-31,0,https://www.google.com/maps/contrib/112575427777309982666/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Kenya,Voi,Kcb Voi,Not available,"Voi, Kenya",not available,Isaac Akuru Miruka,5,NAN,2021-06-28,0,https://www.google.com/maps/contrib/109018215274028115768/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Kenya,Kitale,Standard Chartered Bank - Kitale Branch,+254 20 3293900,"Ground Floor- Teryet Business Centre, Kenyatta St, Kitale, Kenya",standardchartered.com,Tony Tonny,1,NAN,2020-06-28,0,https://www.google.com/maps/contrib/101854284418679826966/reviews?hl=fr,,0000-00-00,Expérience,Negative,[]
Kenya,Homa Bay,"Barclays Bank, Homa Bay",Not available,"Fff4+7W4, Homa Bay, Kenya",not available,Declan Ottaro,3,Salle bancaire,2018-06-29,0,https://www.google.com/maps/contrib/102334686132616447447/reviews?hl=fr,,0000-00-00,Banque en ligne,Positive,"['facile', 'pratique']"
Kenya,Homa Bay,"Barclays Bank, Homa Bay",Not available,"Fff4+7W4, Homa Bay, Kenya",not available,Declan Ottaro,3,Salle bancaire,2018-06-29,0,https://www.google.com/maps/contrib/102334686132616447447/reviews?hl=fr,,0000-00-00,Frais de service,Negative,"['élevés', 'inutiles']"
Kenya,Homa Bay,"Barclays Bank, Homa Bay",Not available,"Fff4+7W4, Homa Bay, Kenya",not available,Declan Ottaro,3,Salle bancaire,2018-06-29,0,https://www.google.com/maps/contrib/102334686132616447447/reviews?hl=fr,,0000-00-00,Assistance,Neutre,[]
Kenya,Homa Bay,"Barclays Bank, Homa Bay",Not available,"Fff4+7W4, Homa Bay, Kenya",not available,Declan Ottaro,3,Salle bancaire,2018-06-29,0,https://www.google.com/maps/contrib/102334686132616447447/reviews?hl=fr,,0000-00-00,Système de paiement,Positive,"['sécurisé', 'rapide']"
Kenya,Homa Bay,"Barclays Bank, Homa Bay",Not available,"Fff4+7W4, Homa Bay, Kenya",not available,Declan Ottaro,3,Salle bancaire,2018-06-29,0,https://www.google.com/maps/contrib/102334686132616447447/reviews?hl=fr,,0000-00-00,Limites du compte,Neutral,"['raisonnable', 'variables']"
Kenya,Homa Bay,"Barclays Bank, Homa Bay",Not available,"Fff4+7W4, Homa Bay, Kenya",not available,Declan Ottaro,3,Salle bancaire,2018-06-29,0,https://www.google.com/maps/contrib/102334686132616447447/reviews?hl=fr,,0000-00-00,Service en ligne,Negative,"['lent', 'brouillon']"
Kenya,Garissa,Co-Operative Bank Of Kenya - Garissa Branch,+254 714 052902,"Gjvv+Xgg, Garissa, Kenya",co-opbank.co.ke,Nuh Abdullahi,5,NAN,2018-06-29,0,https://www.google.com/maps/contrib/118050330986637394183/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Kenya,Machakos,Barclays Bank,+254 44 20720,"F7J9+C5J, Opposite Machakos Cathedral Church, Mbolu Malu Road, Machakos, Kenya",not available,Morris Muteti,5,NAN,2018-06-29,0,https://www.google.com/maps/contrib/115629277480449441463/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Kenya,Embu,Consolidated Bank Of Kenya,+254 703 016437,"Ff72+Wrr, B6, Embu, Kenya",consolidated-bank.com,Enoch Ndwiga,5,NAN,2021-06-28,0,https://www.google.com/maps/contrib/114399731888326205816/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Kenya,Thika,Absa Bank - Thika,+254 20 3900000,"X37F+487, Kenyatta Ave, Thika, Kenya",not available,John Ebeneza,3,NAN,2019-06-29,0,https://www.google.com/maps/contrib/110270593364305622052/reviews?hl=fr,,0000-00-00,Expérience,Neutral,[]
Kenya,Mombasa,Central Bank - Mombasa,+254 41 2121000,"Wmpg+Rqv, Next To Standard Chartered, Treasury Road, Mombasa Old Town, Mombasa, Kenya",centralbank.go.ke,Abubakar Said,1,NAN,2018-06-29,0,https://www.google.com/maps/contrib/112749248063969805097/reviews?hl=fr,,0000-00-00,Expérience,Negative,[]
