Bank,preprocessed_review,Sentiment,main_topic,sub_topic
Credit Mutuel du Sénégal Bignona,très bon,positive,bon,généralement bon
Microcred Bignona,très bon,positive,bon,généralement bon
Banque de Dakar,bon,positive,bon,généralement bon
BRIDGE BANK SÉNÉGAL Agence Horizon,bon,positive,bon,généralement bon
BANQUE ATLANTIQUE Agence Sacre coeur,bon,positive,bon,généralement bon
Banque de l'Habitat du Sénégal,très bon,positive,bon,généralement bon
Banque Régionale De Marchés,très bon,positive,bon,généralement bon
LA BANQUE OUTARDE,très bon,positive,bon,généralement bon
Banque Internationale pour le Commerce et l'Industrie au Sénégal,très bon,positive,bon,généralement bon
Baobab Senegal,très bon,positive,bon,généralement bon
NSIA banque,bon,positive,bon,généralement bon
"BAD, Bureau du Sénégal (COSN)",très bon,positive,bon,généralement bon
BOA Agence Bourguiba,bon,positive,bon,généralement bon
Banque Régionale de Marché,bon,positive,bon,généralement bon
Bank Of Africa (BOA) Agence Place De L'indépendance,très bon,positive,bon,généralement bon
Agence CBAO Sacré Coeur 3 VDN,bon,positive,bon,généralement bon
United Bank of Africa,très bon,positive,bon,généralement bon
BIS Banque Islamique du Sénégal,très bon,positive,bon,généralement bon
BGFIBank Sénégal,très bon,positive,bon,généralement bon
Alliance de Crédit et d'Epargne pour la Production,accueillant disponible service rapide,positive,service_client,excellent service client
BICIS Diourbel,disponibilité,positive,bon,généralement bon
BOA Agence DIOURBEL,bon,positive,bon,généralement bon
IMCEC DIOURBEL,bon,positive,bon,généralement bon
Microcred,très bon,positive,bon,généralement bon
SGBS,très bon,positive,bon,généralement bon
Credit Mutuel Senegal,bon,positive,bon,généralement bon
BNDE,bon,positive,bon,généralement bon
BNDE,bon,positive,bon,généralement bon
PAMECAS,meilleure pamecas,positive,bon,généralement bon
SUNU BICIS GOLF SUD,très bon,positive,bon,généralement bon
femzop,très bon,positive,bon,généralement bon
Gab Ecobank,très bon,positive,bon,généralement bon
BOA (Bank Of Africa),très bon,positive,bon,généralement bon
Credit Mutuel du Senegal Pikine,très bon,positive,bon,généralement bon
Credit Mutuel du Senegal Pikine,très bon,positive,bon,généralement bon
Bureau de poste de Guédiawaye,très bon,positive,bon,généralement bon
banque islamique du senegal,très bon,positive,bon,généralement bon
IMCEC Baye Laye,très bon,positive,bon,généralement bon
Banque Atlantique agence pikine,très bon,positive,bon,généralement bon
BHS (Banque de l’habitat de Sénégal) agence Pikine,très bon,positive,bon,généralement bon
United Bank of Africa,très bon,positive,bon,généralement bon
Microcred,très bon,positive,bon,généralement bon
Premium Mame Babacar de Joal,très bon,positive,bon,généralement bon
Premium Mame Babacar de Joal,très bon,positive,bon,généralement bon
BOA Agence Kaffrine,bien,positive,bon,généralement bon
Crédit Mutuel Du Sénégal,superbes prêts hypothèques,positive,bon,généralement bon
Bicis Kaolack,bon,positive,bon,généralement bon
CNCAS Agence de Kaolack,bon,positive,bon,généralement bon
CBAO Kolda,très bon,positive,bon,généralement bon
La banque agricole Kolda,très bon,positive,bon,généralement bon
Credit Mutuel du senegal (Kolda),très bon,positive,bon,généralement bon
BOA Agence Kolda,très bon,positive,bon,généralement bon
IMCEC KOLDA,très bon,positive,bon,généralement bon
BOA Agence Kédougou,bon,positive,bon,généralement bon
BOA Agence Louga,très bon,positive,bon,généralement bon
SGBS Louga,très bon,positive,bon,généralement bon
Atlantic Bank,bien,positive,bon,généralement bon
Crédit Mutuel Sénégal,cms louga placé côté grand marché louga endroit propice commencer traders système queuing reste vieux petit pièce personnel reste accueillant directeur toujours accessible client,positive,bon,généralement bon
Microcred Louga,bon,positive,bon,généralement bon
Banque de l’habitat de Senegal,modéré calme,positive,bon,généralement bon
Banque Islamique De Senegal,très bon,positive,bon,généralement bon
Cbao,lieu travaille,positive,bon,généralement bon
Bureau de Change S. K. F_Diambar Serigne Mbacke Et Frères,machallah,positive,service_client,excellent service client
B.ATLANTIQUE,très bon,positive,bon,généralement bon
B.ATLANTIQUE,très bon,positive,bon,généralement bon
B.ATLANTIQUE,très bon,positive,bon,généralement bon
Route de Mbacké,très bon,positive,bon,généralement bon
Multi-services BOROM GAWANE transfert de l'argent,sant sëriñ tuubaa,positive,bon,généralement bon
MoneyGram,très bon,positive,bon,généralement bon
Western Union,très bon,positive,bon,généralement bon
OFFICE NOTARIAL Me MBacké,excellent accueil téléphonique lassistante reçoit appels top voix très agréable très douce très chaleureuse léquipe personnes lesquelles jai communiquées jai …,positive,service_client,excellent service client
ABS BANK SENEGAL,très bon,positive,bon,généralement bon
"OSMOSE AUDIT ET CONSEILS, Résidence Massamba MBACKE",immeuble mbacke,positive,service_client,excellent service client
Banque CBAO,très bon,positive,bon,généralement bon
BANQUE ATLANTIQUE MBOUR,très coll,positive,service_client,personnel serviable
Ecobank Mbour,très bon,positive,bon,généralement bon
BOA Agence Mbour,bon,positive,bon,généralement bon
Banque De L'habitat Du Senegal BHS Mbour,très bon,positive,bon,généralement bon
Microcred Mbour,très bon,positive,bon,généralement bon
CMS Mbour Garage,bon,positive,bon,généralement bon
IMCEC MBOUR,très bon,positive,bon,généralement bon
BSIC Bank,daccord,positive,bon,généralement bon
Bicis,bon,positive,bon,généralement bon
Pamecas Mbour,très bon,positive,bon,généralement bon
Crédit Mutuel Du Sénégal,établissement financier proximité,positive,bon,généralement bon
Nsia Banque,bon,positive,bon,généralement bon
Impots Et Domaines Mbour,très bon,positive,bon,généralement bon
Banque Islamique Du Senegal,finance,positive,bon,généralement bon
Banque Islamique Du Senegal,finance,positive,bon,généralement bon
Bank Of Africa,jadore leurs gab donnent petites coupures,positive,bon,généralement bon
CBAO Bank,bon,positive,bon,généralement bon
Societe Generale De Services,agence immobilière très sérieux,positive,service_client,excellent service client
Coris Bank,très bon service disposition client,positive,bon,généralement bon
BANQUE CBAO SALY,bon,positive,bon,généralement bon
BANQUE CBAO SALY,bon,positive,bon,généralement bon
BANQUE CBAO SALY,bon,positive,bon,généralement bon
Banque Atlantique agence pikine,très bon,positive,bon,généralement bon
Agence banque islamique Pikine,très bon,positive,bon,généralement bon
BOA Agence Pikine,très bon,positive,bon,généralement bon
Credit Mutuel du Senegal Pikine,très bon,positive,bon,généralement bon
Agence Cofina Pikine,bon,positive,bon,généralement bon
Banque Cnas,super,positive,service_client,réponses rapides aux demandes
Pamécas,bon,positive,bon,généralement bon
Agence Ecobank,très bon,positive,bon,généralement bon
Agence Ecobank,très bon,positive,bon,généralement bon
Acep,bon,positive,bon,généralement bon
Acep,bon,positive,bon,généralement bon
Acep,bon,positive,bon,généralement bon
Uba,bon,positive,bon,généralement bon
Cbao,très bon,positive,bon,généralement bon
Cbao,très bon,positive,bon,généralement bon
BHS (Banque de l’habitat de Sénégal) agence Pikine,très bon,positive,bon,généralement bon
Agence ATPS-PROXIMO Point de vente distributeur CLEAN OIL Multi-services,très bon,positive,bon,généralement bon
Baobab Senegal,très bon,positive,bon,généralement bon
Baobab Senegal,très bon,positive,bon,généralement bon
Microcred Louga,bon,positive,bon,généralement bon
Banque CBAO,très bon,positive,bon,généralement bon
Agence BNDE,très bon,positive,bon,généralement bon
CBAO Bank,bon,positive,bon,généralement bon
Fort de Podor,bon,positive,bon,généralement bon
Poste De Demette,bon,positive,bon,généralement bon
CNCAS RICHARD-TOLL,très bon,positive,bon,généralement bon
CNCAS RICHARD-TOLL,très bon,positive,bon,généralement bon
Bank Of Africa Groupe Bmce Bank,jai compte là bas collègues leurs félicites beaucoup,positive,bon,généralement bon
CBAO,très bon,positive,bon,généralement bon
CBAO,très bon,positive,bon,généralement bon
CBAO,très bon,positive,bon,généralement bon
CBAO,très bon,positive,bon,généralement bon
CBAO,très bon,positive,bon,généralement bon
cgerwalo,outil gestion perfermant professionnalisation monde paysane vallee fleuve senegal,positive,bon,généralement bon
cgerwalo,outil gestion perfermant professionnalisation monde paysane vallee fleuve senegal,positive,bon,généralement bon
Société génégarle de banques au sénégal,très bon,positive,bon,généralement bon
CPS RUFISQUE,cool,positive,service_client,personnel serviable
TRESOR DE RUFISQUE,très bon,positive,bon,généralement bon
Multiservices RUFTRANSIT,bien,positive,bon,généralement bon
Agrnce microcred,microced bâtiment,positive,bon,généralement bon
La poste Rufique,très bon,positive,bon,généralement bon
BICIS,très bon,positive,bon,généralement bon
Agence BNDE,très bon,positive,bon,généralement bon
Banque Atlantique Zone Industrielle,très bon,positive,bon,généralement bon
ROUTE DES HLM,bon,positive,bon,généralement bon
Zelcash,meilleur service puisse exister,positive,service_client,excellent service client
Zelcash,meilleur service puisse exister,positive,service_client,excellent service client
Zelcash,meilleur service puisse exister,positive,service_client,excellent service client
Zelcash,meilleur service puisse exister,positive,service_client,excellent service client
CMS,cms cest banque tout monde vraiment très intéressé façon faire pense tout monde dois ouvrir compte cms cest rénovation,positive,service_client,excellent service client
credit agricole (CNCAS) de Bargny,bon,positive,bon,généralement bon
BOA Agence Zone Industrielle,bon,positive,bon,généralement bon
"CNCA, Saint-Louis",très bon,positive,bon,généralement bon
BOA Agence Saint Louis,bon,positive,bon,généralement bon
BNDE Agence Saint-Louis,bon,positive,bon,généralement bon
SUNU BICIS de Saint-Louis,bon,positive,bon,généralement bon
