Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Nane,Reviewer_Sart,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profil_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date,Topic,Sentiment,Sub_Topic,Preprocessed_review
Bénin,Abomey,Agence Boa Abomey,+229 21 36 51 48,"52M7+5Pg, Abomey, Bénin",not available,Daniel Alfaro,5,"Utilisez le guichet automatique, cela fonctionne parfaitement.",2023-06-28,1,https://www.google.com/maps/contrib/104809305004479701720/reviews?hl=fr,,0000-00-00,bon,positive,généralement bon,utilisez guichet automatique cela fonctionne parfaitement
Bénin,Abomey,Uba (United Bank Of Africa) Abomey-Calavi Branch,Not available,"F954+Vhf, Abomey Calavi, Bénin",not available,Moudhil Moutairou,2,mauvais,2019-06-29,0,https://www.google.com/maps/contrib/117807443931737435579/reviews?hl=fr,,0000-00-00,mauvais,negative,généralement mauvais,mauvais
Bénin,Abomey,Banque Atlantique Abomey-Calavi,+33 7 56 88 93 03,"C9V3+Wmf, Abomey Calavi, Bénin",not available,Benedite Sentibanez,3,neutre,2019-06-29,0,https://www.google.com/maps/contrib/115760666064310488793/reviews?hl=fr,,0000-00-00,neutre,neutral,généralement neutre,neutre
Bénin,Abomey,Axa Banque Agence Abomey-Calavi,Not available,"F923+6Xq, Cotonou, Bénin",not available,Kyaam Boyz,5,Très bon,2022-06-28,0,https://www.google.com/maps/contrib/106985422452975245508/reviews?hl=fr,,0000-00-00,bon,positive,généralement bon,très bon
Bénin,Abomey,Boa,Not available,"F964+Ffq, Rnie2, Abomey Calavi, Bénin",not available,Julien Lokossou,3,neutre,2021-06-28,0,https://www.google.com/maps/contrib/113463625203227238492/reviews?hl=fr,,0000-00-00,neutre,neutral,généralement neutre,neutre
Bénin,Abomey,Bsic Benin Sa - Kpota,Not available,"C9X4+Q97, Abomey Calavi, Bénin",not available,Abdel Afid Djima,5,Très bon,2022-06-28,0,https://www.google.com/maps/contrib/103922457181144313995/reviews?hl=fr,,0000-00-00,bon,positive,généralement bon,très bon
Bénin,Abomey,Clcam Abomey-Calavi Agence Siege,Not available,"F954+X8H, Bénin",not available,Claude Tchango,4,bon,2019-06-29,0,https://www.google.com/maps/contrib/111071781953515201870/reviews?hl=fr,,0000-00-00,bon,positive,généralement bon,bon
Bénin,Abomey,Fececam Benin,Not available,"F86Q+Hg8, Abomey Calavi, Bénin",not available,Marc Akowanou,3,neutre,2018-06-29,0,https://www.google.com/maps/contrib/108305194796582924472/reviews?hl=fr,,0000-00-00,neutre,neutral,généralement neutre,neutre
Bénin,Bassila,Nsia Banque Bénin,+229 21 31 96 00,+229 21 31 96 00,not available,Joiris Reynaud,5,Très bon,2019-06-29,0,https://www.google.com/maps/contrib/117792265941438030659/reviews?hl=fr,,0000-00-00,bon,positive,généralement bon,très bon
Bénin,Bassila,Nsia Banque Bénin,+229 21 31 96 00,+229 21 31 96 00,not available,Joiris Reynaud,5,Très bon,2019-06-29,0,https://www.google.com/maps/contrib/117792265941438030659/reviews?hl=fr,,0000-00-00,bon,positive,généralement bon,très bon
Bénin,Bassila,Mairie Bassila,+229 97 02 77 50,"Bp 07, Bassila, Bénin",not available,Abdou Fatai Adam,5,Très bon,2023-06-28,0,https://www.google.com/maps/contrib/100202316363376835119/reviews?hl=fr,,0000-00-00,bon,positive,généralement bon,très bon
Bénin,Bassila,Parc De Bassila (Mairie),Not available,"2M47+Hh3, Bassila, Bénin",not available,Oludare Opaleye,4,bon,2022-06-28,0,https://www.google.com/maps/contrib/113949960478419482442/reviews?hl=fr,,0000-00-00,bon,positive,généralement bon,bon
Bénin,Bassila,Banque Atlantique Agence Ganhi,+229 21 31 10 18,"9C3P+Gm2, Rue De La Poste, Cotonou, Bénin",banqueatlantique.net,Tatiana Samson,1,Très mauvais,2018-06-29,0,https://www.google.com/maps/contrib/103720179264727720119/reviews?hl=fr,,0000-00-00,mauvais,negative,généralement mauvais,très mauvais
Bénin,Bassila,Banque Internationale Pour L'Industrie Et Le Commerce,+229 21 31 22 00,"Boulevard Saint Michel, Cotonou, Bénin",biic-bank.com,Herman Hedokingbe,5,Très bon,2017-06-29,0,https://www.google.com/maps/contrib/115309133299711002708/reviews?hl=fr,,0000-00-00,bon,positive,généralement bon,très bon
Bénin,Bassila,Banque Internationale Pour L'Industrie Et Le Commerce,+229 21 31 22 00,"Boulevard Saint Michel, Cotonou, Bénin",biic-bank.com,Herman Hedokingbe,5,Très bon,2017-06-29,0,https://www.google.com/maps/contrib/115309133299711002708/reviews?hl=fr,,0000-00-00,bon,positive,généralement bon,très bon
Bénin,Bassila,Banque Atlantique Agence Parakou,Not available,"Cinema, Rte De Transa, Parakou, Bénin",not available,Thierry Tobossi,5,Très bon,2018-06-29,0,https://www.google.com/maps/contrib/106242779399685873165/reviews?hl=fr,,0000-00-00,bon,positive,généralement bon,très bon
Bénin,Bassila,Uba Cocotiers,+229 21 31 24 24,"993X+Fgp, Rte De L'Aéroport, Cotonou, Bénin",ubagroup.com,Ibrahim Afridi,4,bon,2015-06-30,0,https://www.google.com/maps/contrib/114912702593635375161/reviews?hl=fr,,0000-00-00,bon,positive,généralement bon,bon
Bénin,Bassila,Boa: Agence Les Cocotiers,+229 21 30 10 01,"993X+F6M, Cotonou, Bénin",not available,Kolawole Alidou Tadde,1,Très mauvais,2019-06-29,0,https://www.google.com/maps/contrib/104469217193584824002/reviews?hl=fr,,0000-00-00,mauvais,negative,généralement mauvais,très mauvais
Bénin,Bassila,Cbao Saint Michel,+229 21 36 59 02,"9C7G+Pc5, Boulevard Saint Michel, Cotonou, Bénin",not available,Boris Hounkpatin,1,Très mauvais,2018-06-29,0,https://www.google.com/maps/contrib/107130408256314206762/reviews?hl=fr,,0000-00-00,mauvais,negative,généralement mauvais,très mauvais
Bénin,Bassila,Boa Agence Du Stade De L’Amitié,Not available,"99Mg+Hph, Cotonou, Bénin",not available,Mutong Weng,3,Il n'y a pas de toilettes publiques🚽 ! …,2019-06-29,1,https://www.google.com/maps/contrib/103596542303468400890/reviews?hl=fr,,0000-00-00,neutre,neutral,généralement neutre,ny a toilettes publiques🚽 …
Bénin,Bassila,Boa Agence Akpakpa,Not available,"9C6W+H6C, Cotonou, Bénin",not available,Ong Sahel,5,Très bon,2021-06-28,0,https://www.google.com/maps/contrib/115931652522792074705/reviews?hl=fr,,0000-00-00,bon,positive,généralement bon,très bon
Bénin,Bassila,Boa Ganhi,Not available,"9C4Q+3Qr, Cotonou, Bénin",not available,Kéfilath Bello,3,neutre,2023-10-01,0,https://www.google.com/maps/contrib/105637918375330015993/reviews?hl=fr,,0000-00-00,neutre,neutral,généralement neutre,neutre
Bénin,Bassila,Boa Benin (Bank Of Africa) - Agence Centrale,+229 21 31 32 28,"9C2J+Rrc Benin City, Ave Jean-Paul Ii, Cotonou, Bénin",bank-of-africa.net,Gylnex Sotchenou,5,Très bon,2018-06-29,0,https://www.google.com/maps/contrib/115162508530295794961/reviews?hl=fr,,0000-00-00,bon,positive,généralement bon,très bon
Bénin,Bassila,Distributeurs Bank Of Africa Benin,+229 21 31 32 28,"9C2J+Pq4 Banque Cotonou, Ave Jean-Paul Ii, Cotonou, Bénin",boabenin.com,Tahirou Moussa,3,neutre,2018-06-29,0,https://www.google.com/maps/contrib/109460622052640858073/reviews?hl=fr,,0000-00-00,neutre,neutral,généralement neutre,neutre
Bénin,Bassila,Agence Boa Menontin,+229 21 36 51 26,"99Q7+Fpr, Cotonou, Bénin",not available,Gérardo Hounton,2,mauvais,2023-09-01,0,https://www.google.com/maps/contrib/106081888862602380970/reviews?hl=fr,,0000-00-00,mauvais,negative,généralement mauvais,mauvais
Bénin,Bassila,Ecobank Bénin,+229 21 31 40 23,"Rue 232, Cotonou, Bénin",ecobank.com,Patrick Yadjemi,3,neutre,2015-06-30,0,https://www.google.com/maps/contrib/112943603722096541763/reviews?hl=fr,,0000-00-00,neutre,neutral,généralement neutre,neutre
Bénin,Bembèrèkè,Clcam Bembereke,+229 66 39 15 92,"6Mf7+847, Bembéréké, Bénin",not available,Toussaint Fagnon,4,bon,2023-06-28,0,https://www.google.com/maps/contrib/108106463415317610899/reviews?hl=fr,,0000-00-00,bon,positive,généralement bon,bon
Bénin,Bembèrèkè,Idc Service,+229 96 65 46 94,"6Mf7+9Pf, Bembéréké, Bénin",not available,Sebastien Dada,3,neutre,2018-06-29,0,https://www.google.com/maps/contrib/106795126620693832330/reviews?hl=fr,,0000-00-00,neutre,neutral,généralement neutre,neutre
Bénin,Bembèrèkè,Ccei Bank Agence Ganhi,+229 21 36 59 10,"9C3Q+M6F, Cotonou, Bénin",cceibankbenin.com,Julien Houangni,5,Très bon,2020-06-28,0,https://www.google.com/maps/contrib/105819122026079790411/reviews?hl=fr,,0000-00-00,bon,positive,généralement bon,très bon
Bénin,Bembèrèkè,Ccei Bank Agence Ganhi,+229 21 36 59 10,"9C3Q+M6F, Cotonou, Bénin",cceibankbenin.com,Julien Houangni,5,Très bon,2020-06-28,0,https://www.google.com/maps/contrib/105819122026079790411/reviews?hl=fr,,0000-00-00,bon,positive,généralement bon,très bon
Bénin,Bembèrèkè,Ecobank Bénin,+229 21 31 40 23,"Rue 232, Cotonou, Bénin",ecobank.com,Patrick Yadjemi,3,neutre,2015-06-30,0,https://www.google.com/maps/contrib/112943603722096541763/reviews?hl=fr,,0000-00-00,neutre,neutral,généralement neutre,neutre
Bénin,Bembèrèkè,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",societegenerale.bj,Clément Labintan,3,neutre,2016-06-29,0,https://www.google.com/maps/contrib/110030064409354194448/reviews?hl=fr,,0000-00-00,neutre,neutral,généralement neutre,neutre
Bénin,Bembèrèkè,Uba Cocotiers,+229 21 31 24 24,"993X+Fgp, Rte De L'Aéroport, Cotonou, Bénin",ubagroup.com,Ibrahim Afridi,4,bon,2015-06-30,0,https://www.google.com/maps/contrib/114912702593635375161/reviews?hl=fr,,0000-00-00,bon,positive,généralement bon,bon
Bénin,Bembèrèkè,Sonibank Agence Ganhi,+229 21 31 21 89,"Centre Kodeih Nº9, Rue Du Gouverneur Bayol, Cotonou, Bénin",not available,Isabelle Queen,5,Très bon,2018-06-29,0,https://www.google.com/maps/contrib/107977443767827842373/reviews?hl=fr,,0000-00-00,bon,positive,généralement bon,très bon
