Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Nane,Reviewer_Sart,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profil_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Kenya,Nyeri,Standard Chartered Bank Nyeri Branch,+254 20 3293900,"Kenyatta Rd, Nyeri, Kenya",standardchartered.com,V M,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/116946183162351789462/reviews?hl=fr,,NAN
Kenya,Kitui,Co-op Bank ATM - Kitui Branch,+254 44 4422370,"Emco House, Kilungya Makuti Street, Kitui, Kenya",co-opbank.co.ke,emman emmah,5,NAN,il y a 8 mois,0,https://www.google.com/maps/contrib/112575427777309982666/reviews?hl=fr,,NAN
Kenya,Voi,KCB Voi,Not available,"Voi, Kenya",Not available,Isaac Akuru Miruka,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/109018215274028115768/reviews?hl=fr,,NAN
Kenya,Kitale,Standard Chartered Bank - Kitale Branch,+254 20 3293900,"Ground Floor- Teryet Business Centre, Kenyatta St, Kitale, Kenya",standardchartered.com,Tony Tonny,1,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/101854284418679826966/reviews?hl=fr,,NAN
Kenya,Homa Bay,"Barclays Bank, Homa Bay",Not available,"FFF4+7W4, Homa Bay, Kenya",Not available,Declan Ottaro,3,Salle bancaire,il y a 6 ans,0,https://www.google.com/maps/contrib/102334686132616447447/reviews?hl=fr,,NAN
Kenya,Garissa,Co-operative bank of Kenya - Garissa Branch,+254 714 052902,"GJVV+XGG, Garissa, Kenya",co-opbank.co.ke,Nuh Abdullahi,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/118050330986637394183/reviews?hl=fr,,NAN
Kenya,Machakos,Barclays Bank,+254 44 20720,"F7J9+C5J, Opposite Machakos Cathedral Church, Mbolu Malu Road, Machakos, Kenya",Not available,Morris Muteti,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/115629277480449441463/reviews?hl=fr,,NAN
Kenya,Embu,Consolidated Bank Of Kenya,+254 703 016437,"FF72+WRR, B6, Embu, Kenya",consolidated-bank.com,Enoch Ndwiga,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/114399731888326205816/reviews?hl=fr,,NAN
Kenya,Thika,ABSA Bank - Thika,+254 20 3900000,"X37F+487, Kenyatta Ave, Thika, Kenya",Not available,John Ebeneza,3,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/110270593364305622052/reviews?hl=fr,,NAN
Kenya,Mombasa,Central Bank - Mombasa,+254 41 2121000,"WMPG+RQV, Next To Standard Chartered, Treasury Road, Mombasa Old Town, Mombasa, Kenya",centralbank.go.ke,Abubakar said,1,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/112749248063969805097/reviews?hl=fr,,NAN
